Z236_1.ome.tif,1.ome.tif
Z236_2.ome.tif,5.ome.tif
Z236_3.ome.tif,13.ome.tif
Z236_4.ome.tif,15.ome.tif
Z236_5.ome.tif,21.ome.tif
Z236_6.ome.tif,27.ome.tif
Z236_7.ome.tif,35.ome.tif
Z236_8.ome.tif,43.ome.tif
Z236_9.ome.tif,57.ome.tif
Z236_10.ome.tif,10763 2A.ome.tif
Z236_11.ome.tif,10763 3A.ome.tif
Z236_12.ome.tif,11417 4C.ome.tif
Z236_13.ome.tif,13121 3A.ome.tif
Z236_14.ome.tif,21929 1A.ome.tif
Z236_15.ome.tif,21929 2W.ome.tif
Z236_16.ome.tif,25947 3D.ome.tif
Z236_17.ome.tif,25947 4B.ome.tif
Z236_18.ome.tif,25947 6A.ome.tif
Z236_19.ome.tif,27887 1C.ome.tif
Z236_20.ome.tif,27887 4A.ome.tif
Z236_21.ome.tif,29512 2B.ome.tif
Z236_22.ome.tif,29512 6A.ome.tif
Z236_23.ome.tif,35a1.ome.tif
Z236_24.ome.tif,3781 4A.ome.tif
Z236_25.ome.tif,40a.ome.tif
Z236_26.ome.tif,60a2.ome.tif
Z236_27.ome.tif,76a1.ome.tif
