Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
664,"image_review_1","image_review_1","Rectangle","20888.33203125,20641.498046875 34737.33984375,20641.498046875 34737.33984375,32671.056640625 20888.33203125,32671.056640625",20888.331298828125,20641.498046875,-1,-1,13849.0078125,12029.55908203125,"1,0,0,0,1,0,0,0,1"
665,"image_review_2","image_review_2","Rectangle","1227.686279296875,22248.97265625 16701.83203125,22248.97265625 16701.83203125,32565.0703125 1227.686279296875,32565.0703125",1227.686279296875,22248.972167968754,-1,-1,15474.146484375,10316.09765625,"1,0,0,0,1,0,0,0,1"
666,"image_review_3","image_review_3","Rectangle","28077.802734375,9618.818359375 32511.60546875,9618.818359375 32511.60546875,18097.802734375 28077.802734375,18097.802734375",28077.803466796875,9618.818359375,-1,-1,4433.80224609375,8478.984375,"1,0,0,0,1,0,0,0,1"
