Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
639,"image_review_1","image_review_1","Rectangle","26054.25390625,6538.14453125 42407.57421875,6538.14453125 42407.57421875,23806.029296875 26054.25390625,23806.029296875",26054.2548828125,6538.14453125,-1,-1,16353.318359375,17267.884765625,"1,0,0,0,1,0,0,0,1"
640,"image_review_2","image_review_2","Rectangle","7539.72900390625,7213.181640625 18830.26953125,7213.181640625 18830.26953125,17306.07421875 7539.72900390625,17306.07421875",7539.72900390625,7213.181640625,-1,-1,11290.5400390625,10092.8935546875,"1,0,0,0,1,0,0,0,1"
3424,"undefined","cycle1/4","Polygon","6296.44,5070.59 7732.58,4383.98 7775.15,4112.65 12060.17,2498.94 13137.05,2447.50 14546.39,1971.20 20872.67,2999.86 26015.99,3514.19 27610.41,3771.36 31107.87,5160.05 33319.49,5520.08 36559.78,5108.62 39440.04,5674.38 40288.74,6469.28 41325.25,7030.73 41630.34,7900.73 42448.13,8715.05 42423.13,9094.65 42825.46,10815.35 42898.20,13674.84 42957.30,14320.38 42468.59,16104.72 41313.88,19275.62 41043.39,19709.77 40618.33,20332.59 38043.02,23498.99 37536.13,23776.30 33456.81,25591.93 32987.54,26117.54 31682.81,26690.35 29377.95,27367.72 27250.38,27379.17 25122.80,27435.91 23618.05,27872.33 20008.45,28072.36 16703.44,27849.60 14544.05,28226.93 13723.46,27636.34 12048.25,27517.74 10020.28,26504.81 7345.75,22441.59 4105.46,17709.74 2764.34,14368.66 2511.03,13080.76 2132.43,12741.16 1688.10,11640.63 973.18,11004.55 5428.51,5482.06",-1,-1,-1,-1,-1,-1,-1
3426,"undefined","DAPI weak cycle7","Polygon","30644.00,12955.00 30722.00,12955.00 30902.00,12465.00 31030.00,12261.00 31108.00,12003.00 31184.00,11849.00 31262.00,11669.00 31338.00,11489.00 31518.00,11077.00 31544.00,10975.00 31596.00,10923.00 31596.00,10717.00 31622.00,10639.00 31622.00,10563.00 31648.00,10459.00 31672.00,10435.00 31698.00,10357.00 31724.00,10229.00 31724.00,10125.00 31802.00,9997.00 31828.00,9895.00 31878.00,9739.00 31904.00,9715.00 31930.00,9689.00 31930.00,9663.00 31956.00,9611.00 32032.00,9535.00 32212.00,9457.00 32418.00,9457.00 32574.00,9379.00 32676.00,9355.00 32830.00,9303.00 32958.00,9225.00 33036.00,9225.00 33036.00,9199.00 33088.00,9149.00 33114.00,9123.00 33164.00,9071.00 33190.00,9019.00 33216.00,8995.00 33294.00,8891.00 33318.00,8865.00 33344.00,8839.00 33344.00,8815.00 33422.00,8737.00 33474.00,8711.00 33498.00,8659.00 33576.00,8659.00 33602.00,8633.00 33834.00,8633.00 33988.00,8659.00 34168.00,8737.00 34194.00,8789.00 34348.00,8943.00 34398.00,8995.00 34424.00,9097.00 34424.00,9123.00 34476.00,9251.00 34502.00,9277.00 34554.00,9405.00 34554.00,9457.00 34630.00,9535.00 34656.00,9611.00 34734.00,9765.00 34784.00,9843.00 34862.00,9945.00 34914.00,10023.00 35016.00,10177.00 35042.00,10229.00 35068.00,10357.00 35118.00,10409.00 35196.00,10589.00 35298.00,10743.00 35402.00,10923.00 35454.00,10999.00 35478.00,11077.00 35530.00,11155.00 35556.00,11179.00 35582.00,11309.00 35608.00,11359.00 35658.00,11411.00 35684.00,11515.00 35710.00,11565.00 35788.00,11695.00 35814.00,11745.00 35864.00,11849.00 35890.00,11875.00 35942.00,11951.00 35968.00,12029.00 36070.00,12131.00 36096.00,12183.00 36250.00,12337.00 36302.00,12363.00 36380.00,12465.00 36404.00,12517.00 36456.00,12543.00 36584.00,12645.00 36740.00,12723.00 36842.00,12801.00 36920.00,12825.00 37124.00,12903.00 37304.00,12955.00 37408.00,12981.00 37536.00,13031.00 37664.00,13083.00 37690.00,13109.00 37742.00,13109.00 37794.00,13161.00 37870.00,13185.00 37948.00,13289.00 38050.00,13341.00 38128.00,13417.00 38154.00,13443.00 38256.00,13495.00 38308.00,13545.00 38360.00,13571.00 38384.00,13597.00 38488.00,13675.00 38668.00,13751.00 38694.00,13777.00 38694.00,13803.00 38744.00,13855.00 38770.00,13905.00 38796.00,14009.00 38822.00,14061.00 38874.00,14111.00 38924.00,14163.00 38976.00,14215.00 39028.00,14265.00 39080.00,14369.00 39182.00,14421.00 39286.00,14497.00 39388.00,14575.00 39516.00,14651.00 39620.00,14703.00 39646.00,14729.00 39722.00,14781.00 39800.00,14805.00 39876.00,14831.00 40006.00,14883.00 40134.00,14935.00 40416.00,14985.00 40570.00,15063.00 40622.00,15063.00 40674.00,15089.00 40726.00,15089.00 40828.00,15115.00 40956.00,15115.00 41086.00,15165.00 41162.00,15191.00 41316.00,15243.00 41368.00,15295.00 41446.00,15347.00 41470.00,15371.00 41548.00,15475.00 41650.00,15577.00 41728.00,15629.00 41754.00,15707.00 41754.00,15809.00 41806.00,15911.00 41806.00,16735.00 41780.00,16811.00 41754.00,16863.00 41702.00,16941.00 41626.00,17043.00 41574.00,17121.00 41548.00,17147.00 41522.00,17171.00 41496.00,17249.00 41394.00,17327.00 41368.00,17377.00 41316.00,17429.00 41240.00,17455.00 41188.00,17507.00 41008.00,17635.00 40930.00,17687.00 40750.00,17789.00 40648.00,17867.00 40648.00,17891.00 40468.00,17969.00 40366.00,18021.00 40340.00,18047.00 40210.00,18123.00 40160.00,18149.00 40006.00,18227.00 39928.00,18277.00 39826.00,18355.00 39748.00,18381.00 39646.00,18483.00 39542.00,18637.00 39466.00,18715.00 39414.00,18767.00 39362.00,18869.00 39310.00,18947.00 39286.00,18997.00 39234.00,19229.00 39208.00,19357.00 39182.00,19435.00 39130.00,19487.00 39080.00,19667.00 39028.00,19717.00 38976.00,19821.00 38900.00,19897.00 38848.00,20001.00 38822.00,20027.00 38694.00,20181.00 38514.00,20309.00 38410.00,20387.00 38334.00,20437.00 38256.00,20437.00 38180.00,20515.00 38076.00,20541.00 37820.00,20669.00 37664.00,20721.00 37304.00,20953.00 36970.00,21157.00 36662.00,21313.00 36482.00,21441.00 36224.00,21647.00 36200.00,21673.00 36044.00,21827.00 35994.00,21879.00 35916.00,21981.00 35788.00,22109.00 35684.00,22239.00 35634.00,22315.00 35582.00,22367.00 35530.00,22443.00 35478.00,22547.00 35428.00,22649.00 35402.00,22753.00 35274.00,22881.00 35248.00,22933.00 35170.00,23061.00 35118.00,23163.00 35042.00,23293.00 35016.00,23293.00 34990.00,23369.00 34914.00,23447.00 34862.00,23473.00 34784.00,23549.00 34734.00,23575.00 34656.00,23575.00 34578.00,23549.00 34424.00,23369.00 34398.00,23267.00 34322.00,23035.00 34296.00,22983.00 34244.00,22727.00 34194.00,22675.00 34142.00,22521.00 34116.00,22393.00 34090.00,22367.00 34038.00,22263.00 33988.00,22161.00 33884.00,22033.00 33730.00,21879.00 33704.00,21827.00 33628.00,21749.00 33576.00,21595.00 33498.00,21467.00 33448.00,21363.00 33344.00,21209.00 33268.00,21055.00 33190.00,20927.00 33088.00,20823.00 33010.00,20747.00 33010.00,20695.00 32934.00,20593.00 32908.00,20567.00 32032.00,20567.00 32032.00,20875.00 32110.00,20953.00 32084.00,20977.00 31776.00,20977.00 31672.00,20927.00 31544.00,20823.00 31416.00,20747.00 31312.00,20669.00 31288.00,20643.00 31158.00,20643.00 30928.00,20747.00 30850.00,20823.00 30772.00,20901.00 30748.00,20953.00 30748.00,21029.00 30670.00,21107.00 30644.00,21183.00 30618.00,21287.00 30618.00,21313.00 30592.00,21363.00 30542.00,21441.00 30516.00,21543.00 30438.00,21673.00 30412.00,21699.00 30388.00,21775.00 30388.00,21827.00 30336.00,21929.00 30310.00,21929.00 30232.00,22059.00 30156.00,22161.00 30156.00,22263.00 30104.00,22341.00 30104.00,22393.00 30052.00,22521.00 30028.00,22547.00 29976.00,22623.00 29872.00,22779.00 29796.00,22881.00 29770.00,22907.00 29692.00,23035.00 29512.00,23241.00 29488.00,23267.00 29358.00,23395.00 29178.00,23575.00 28946.00,23781.00 28766.00,23883.00 28510.00,24167.00 28330.00,24321.00 28176.00,24449.00 28150.00,24501.00 28072.00,24629.00 28046.00,24655.00 28046.00,24707.00 28022.00,24759.00 27918.00,24861.00 27790.00,24939.00 27738.00,24989.00 27482.00,25169.00 27456.00,25195.00 27326.00,25273.00 27250.00,25299.00 27172.00,25325.00 27044.00,25375.00 26838.00,25401.00 26606.00,25427.00 26350.00,25453.00 26298.00,25505.00 25578.00,25505.00 25552.00,25479.00 25424.00,25401.00 25244.00,25195.00 25140.00,25041.00 25116.00,24939.00 25038.00,24759.00 24986.00,24553.00 24910.00,24321.00 24910.00,24193.00 24858.00,24063.00 24858.00,23215.00 24910.00,23009.00 24936.00,22907.00 24986.00,22727.00 25064.00,22547.00 25116.00,22393.00 25192.00,22187.00 25192.00,21337.00 25218.00,21235.00 25244.00,21183.00 25346.00,21055.00 25372.00,21003.00 25500.00,20875.00 25604.00,20797.00 25732.00,20643.00 26016.00,20463.00 26066.00,20437.00 26272.00,20309.00 26324.00,20283.00 26504.00,20181.00 26710.00,20103.00 26864.00,20001.00 26992.00,19923.00 27044.00,19873.00 27146.00,19743.00 27276.00,19537.00 27276.00,19461.00 27352.00,19281.00 27404.00,19177.00 27404.00,19127.00 27456.00,18895.00 27456.00,18843.00 27482.00,18613.00 27482.00,18381.00 27532.00,18251.00 27532.00,17841.00 27506.00,17763.00 27506.00,17043.00 27482.00,16967.00 27532.00,16941.00 27686.00,16941.00 27790.00,16967.00 27918.00,16991.00 27970.00,17017.00 27996.00,17043.00 28046.00,17069.00 28072.00,17095.00 28124.00,17095.00 28176.00,17121.00 28278.00,17171.00 28406.00,17197.00 28586.00,17275.00 28766.00,17377.00 28922.00,17429.00 29126.00,17455.00 29256.00,17481.00 29332.00,17507.00 29410.00,17531.00 29462.00,17557.00 29564.00,17583.00 29616.00,17609.00 31184.00,17609.00 31288.00,17557.00 31416.00,17507.00 31442.00,17455.00 31518.00,17429.00 31648.00,17377.00 31698.00,17327.00 31802.00,17275.00 31852.00,17223.00 31904.00,17171.00 31930.00,17147.00 32058.00,17095.00 32084.00,17043.00 32110.00,16967.00 32136.00,16889.00 32162.00,16863.00 32188.00,16811.00 32238.00,16683.00 32238.00,16631.00 32264.00,16581.00 32290.00,16477.00 32290.00,16247.00 32316.00,16067.00 32316.00,16015.00 32368.00,15861.00 32368.00,14549.00 32342.00,14395.00 32316.00,14343.00 32264.00,14241.00 32264.00,14163.00 32238.00,14137.00 32212.00,14035.00 32162.00,13957.00 32084.00,13855.00 32032.00,13829.00 31982.00,13725.00 31904.00,13623.00 31878.00,13571.00 31852.00,13521.00 31776.00,13443.00 31750.00,13417.00 31724.00,13365.00 31648.00,13315.00 31570.00,13237.00 31544.00,13237.00 31492.00,13211.00 31416.00,13185.00 31338.00,13161.00 31236.00,13135.00 31056.00,13031.00 30928.00,13031.00 30824.00,12929.00 30722.00,12929.00",-1,-1,-1,-1,-1,-1,-1
3427,"undefined","exclude DAPI cycle7","Ellipse","38083.9375,15673.8916015625 37083.796875,15673.8916015625 37583.8671875,16151.2314453125 37583.8671875,15196.5517578125",37583.866880337584,15673.891613929354,500.0700554237119,477.3394596232956,-1,-1,"1,0,0,0,1,0,0,0,1"
