Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
674,"image_review_1","image_review_1","Rectangle","22807.416015625,4651.283203125 36673.55859375,4651.283203125 36673.55859375,22055.685546875 22807.416015625,22055.685546875",22807.41593298218,4651.283365979281,-1,-1,13866.143858626489,17404.40125703462,"1,0,0,0,1,0,0,0,1"
675,"image_review_2","image_review_2","Rectangle","9833.8056640625,13449.1123046875 22010.51171875,13449.1123046875 22010.51171875,31108.5234375 9833.8056640625,31108.5234375",9833.805472152344,13449.112572831946,-1,-1,12176.705641368546,17659.410799262238,"1,0,0,0,1,0,0,0,1"
2904,"undefined","cycle 10","Polygon","28790.25,13322.60 29959.79,13009.33 31254.64,14137.10 31922.95,14011.79 32653.91,13677.64 33071.60,13635.87 33238.68,14241.52 33259.57,14575.68 33363.99,15097.79 33927.88,14742.75 34387.34,15118.68 34658.84,15599.03 35118.30,15828.76 35139.19,16329.99 35556.88,16685.03 36037.23,16455.30 36371.38,17541.30 36266.96,18105.19 35201.84,18773.50 35118.30,19212.08 33781.68,19316.50 32424.18,19796.85 30836.94,21592.93 29500.32,21906.20 28393.44,21822.66 27411.86,22261.24 26806.20,22553.62 26304.97,22490.97 27829.55,18042.53 27390.97,16622.38 27620.71,16162.91",-1,-1,-1,-1,-1,-1,-1
2905,"undefined","cycle10","Polygon","32147.69,22652.95 32767.93,21722.58 33905.04,20555.93 34658.19,20792.22 35071.69,19625.57 35677.17,19758.48 36105.43,21427.23 35426.12,23819.60 35824.84,24513.68 35795.31,25503.11 35455.65,26197.19 36400.78,26108.59 36917.65,26610.69 37198.24,27496.75 36814.28,28870.15 35573.79,29505.16 34805.87,30243.54 33462.01,31484.03 32708.86,32724.52 31837.57,32857.43 31040.11,33034.64 29991.60,32119.04 29046.47,32222.42 29061.24,31351.12 29770.09,30878.56 29799.62,30450.29 30331.26,29933.42 30936.74,29549.46 31276.39,29121.20 31246.86,28368.05 31365.00,27437.68 31630.82,26123.36 32694.09,27038.95 32487.34,25990.45 32088.62,25606.49 32974.68,25429.27 32989.45,24720.43 33432.48,24159.25 32088.62,23730.99",-1,-1,-1,-1,-1,-1,-1
2906,"undefined","cycle10","Polygon","26476.89,24809.03 27495.86,24823.80 27569.70,24676.12 27303.88,23155.05 27643.54,23036.91 27850.29,22830.16 28500.07,24174.02 28780.65,25960.91 28042.27,27452.45 29016.93,26551.62 29474.73,26123.36 29592.87,25517.88 29090.77,24986.24 29607.64,24927.17 30154.05,25606.49 30242.65,26123.36 30242.65,26359.64 29711.02,26064.29 29696.25,26522.08 30552.78,27083.26 29873.46,27629.66 29489.50,27998.85 29888.23,28515.72 29356.59,29844.82 28957.86,30568.43 28249.01,31070.54 28795.42,32163.35 27702.61,31735.08 27082.37,30686.57 27569.70,29135.97",-1,-1,-1,-1,-1,-1,-1
2907,"undefined","cycle10","Polygon","11839.70,20608.18 10267.00,20017.17 9635.92,18274.17 10697.74,17221.25 11609.31,18333.16 13505.45,18030.19 11989.96,17201.22 11378.91,16189.48 13222.12,15791.89 14884.52,16275.97 17307.56,17233.91 21158.12,19581.82 22228.77,19750.87 22886.18,21647.97 22980.09,23995.88 23965.86,24961.72 24446.20,29263.97 23527.28,30287.32 23318.43,30454.39 23109.58,30558.82 22942.51,30579.70 22984.28,30663.24 21209.08,30913.86 18389.65,31143.59 18059.95,30458.49 16622.07,29986.69 15444.91,29681.66 14412.11,29363.36 13930.45,27890.05 13742.97,24925.59 13833.12,24685.18 12911.54,22681.74 12230.37,21960.50",-1,-1,-1,-1,-1,-1,-1
2908,"undefined","excluded FoxP3","Polygon","20542.83,25188.33 20852.75,25236.01 20831.56,25315.48 20921.62,25299.59 20876.59,25373.76 20799.77,25392.30 20677.92,25405.54 20701.76,25458.52 20770.64,25442.63 20942.82,25498.26 20918.98,25532.69 20746.80,25527.40 20688.52,25553.88 20537.53,25580.37 20436.87,25551.24",-1,-1,-1,-1,-1,-1,-1
2909,"undefined","excluded FoxP3","Polygon","20095.16,25156.55 20275.29,25267.80 20243.50,25365.81 20121.65,25394.95 19973.31,25416.14 20013.04,25275.75 20060.72,25217.47",-1,-1,-1,-1,-1,-1,-1
2910,"undefined","excluded FoxP3","Polygon","21758.69,24801.59 21930.87,24804.24 21877.89,24629.41 22018.28,24671.79 22026.23,24849.27 22195.76,24889.00 22246.09,24963.17 22370.59,25132.71 22238.14,25145.95 22113.64,24981.72 21999.74,25108.87 21846.10,25063.83 21634.19,25090.32 21650.08,25058.54",-1,-1,-1,-1,-1,-1,-1
2911,"undefined","excluded CD4","Polygon","21455.15,22305.32 21584.39,22374.62 21929.03,22619.99 21959.00,22766.09 21927.16,22841.01 21739.85,22880.35 21633.09,22835.40 21501.97,22730.50",-1,-1,-1,-1,-1,-1,-1
