Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
631,"image_review_1","image_review_1","Rectangle","19475.814453125,17136.955078125 27810.103515625,17136.955078125 27810.103515625,26345.470703125 19475.814453125,26345.470703125",19475.814208984375,17136.95556640625,-1,-1,8334.28857421875,9208.5146484375,"1,0,0,0,1,0,0,0,1"
632,"image_review_2","image_review_2","Rectangle","26566.759765625,7326.1962890625 37970.55078125,7326.1962890625 37970.55078125,15913.0390625 26566.759765625,15913.0390625",26566.759033203125,7326.1962890625,-1,-1,11403.79345703125,8586.8427734375,"1,0,0,0,1,0,0,0,1"
633,"image_review_3","image_review_3","Rectangle","7897.17578125,10570.5458984375 15901.201171875,10570.5458984375 15901.201171875,18963.1171875 7897.17578125,18963.1171875",7897.175537109375,10570.546386718746,-1,-1,8004.025390625,8392.5703125,"1,0,0,0,1,0,0,0,1"
3434,"undefined","exclude","Ellipse","9729.6279296875,21969.080078125 6784.35888671875,21969.080078125 8256.9931640625,23650.703125 8256.9931640625,20287.458984375",8256.993155335815,21969.080488616786,1472.6342902237557,1681.6219947769605,-1,-1,"1,0,0,0,1,0,0,0,1"
3435,"undefined","cycle7","Polygon","4438.95,8563.25 5955.33,6696.94 8599.26,5686.03 8327.10,3897.48 10543.34,1992.29 11842.48,911.05 14460.66,1184.65 16577.65,2738.03 17402.45,3824.01 18873.34,5556.09 15247.99,8329.97 16531.08,15250.86 14975.82,16650.59 15325.75,19722.23 16764.36,24388.00 15286.87,25282.27 12059.71,19722.23 10348.93,19683.34 11943.07,24038.07 12409.65,28548.31 10815.51,30453.50 5916.44,30064.69 1600.61,23143.79 2339.35,19294.53 1406.20,14473.23 3428.03,9068.71",-1,-1,-1,-1,-1,-1,-1
3436,"undefined","cycle7","Polygon","20396.87,7238.62 20396.87,7238.62 24090.60,3933.70 28262.31,2009.45 29994.39,1569.56 32798.71,2091.93 36125.40,4813.77 36493.78,6188.82 37857.48,7425.64 38943.31,9649.27 38671.14,12643.14 38243.44,14742.73 37893.51,18008.77 36649.31,19058.57 36338.25,22052.45 34433.06,23996.51 33188.86,24540.85 30544.92,27184.79 27978.75,28234.59 25101.52,27029.27 21991.00,24929.67 20993.73,24809.76 17777.02,21510.56 18841.61,12215.44 19269.30,9843.67",-1,-1,-1,-1,-1,-1,-1
3450,"undefined","exclude Iba1","Polygon","32790.06,6033.76 33572.55,5951.14 33273.65,6663.16 32763.33,6736.06",-1,-1,-1,-1,-1,-1,-1
3459,"undefined","exclude Iba1","Polygon","6536.21,18378.88 6668.52,18481.98 6553.39,18578.20 6484.66,18469.95",-1,-1,-1,-1,-1,-1,-1
3460,"undefined","exclude Iba1","Polygon","16929.70,4556.63 17290.55,4419.17 18132.53,4932.95 18221.89,5183.82 18036.31,5336.75 17653.12,5123.68 17464.10,4938.10 17355.85,5070.41 17251.03,5065.26",-1,-1,-1,-1,-1,-1,-1
3461,"undefined","exclude Iba1","Polygon","12358.00,2324.00 12378.00,2348.00 12382.00,2348.00 12402.00,2358.00 12528.00,2358.00 12542.00,2354.00 12552.00,2348.00 12556.00,2334.00 12566.00,2324.00 12572.00,2320.00 12582.00,2314.00 12590.00,2300.00 12606.00,2286.00 12620.00,2270.00 12624.00,2266.00 12630.00,2256.00 12640.00,2236.00 12644.00,2226.00 12654.00,2212.00 12658.00,2202.00 12674.00,2184.00 12678.00,2174.00 12684.00,2158.00 12684.00,2154.00 12688.00,2140.00 12698.00,2134.00 12708.00,2120.00 12718.00,2116.00 12726.00,2116.00 12742.00,2120.00 12752.00,2134.00 12752.00,2150.00 12756.00,2168.00 12756.00,2236.00 12742.00,2266.00 12698.00,2310.00 12692.00,2314.00 12684.00,2324.00 12668.00,2334.00 12664.00,2344.00 12658.00,2354.00 12654.00,2368.00 12650.00,2372.00 12650.00,2440.00 12654.00,2456.00 12674.00,2464.00 12692.00,2474.00 12844.00,2474.00 12864.00,2470.00 12878.00,2464.00 12906.00,2436.00 12916.00,2416.00 12940.00,2392.00 12946.00,2372.00 12970.00,2324.00 12984.00,2304.00 12990.00,2300.00 13018.00,2232.00 13024.00,2202.00 13038.00,2164.00 13042.00,2140.00 13048.00,2100.00 13058.00,2072.00 13058.00,2008.00 13068.00,1960.00 13068.00,1916.00 13072.00,1882.00 13076.00,1862.00 13076.00,1834.00 13086.00,1818.00 13092.00,1808.00 13096.00,1804.00 13102.00,1784.00 13120.00,1760.00 13130.00,1740.00 13136.00,1736.00 13144.00,1722.00 13160.00,1706.00 13170.00,1692.00 13198.00,1672.00 13208.00,1668.00 13212.00,1668.00 13228.00,1654.00 13238.00,1648.00 13248.00,1644.00 13256.00,1644.00 13266.00,1634.00 13286.00,1634.00 13310.00,1638.00 13320.00,1654.00 13350.00,1682.00 13364.00,1698.00 13384.00,1712.00 13398.00,1740.00 13418.00,1766.00 13436.00,1790.00 13452.00,1808.00 13460.00,1814.00 13470.00,1824.00 13486.00,1834.00 13538.00,1848.00 13592.00,1862.00 13650.00,1882.00 13946.00,1882.00 13990.00,1886.00 14020.00,1892.00 14054.00,1896.00 14098.00,1916.00 14126.00,1920.00 14160.00,1936.00 14186.00,1950.00 14214.00,1964.00 14244.00,1978.00 14296.00,2018.00 14302.00,2022.00 14326.00,2048.00 14350.00,2072.00 14364.00,2096.00 14390.00,2130.00 14424.00,2174.00 14462.00,2232.00 14492.00,2270.00 14520.00,2304.00 14526.00,2314.00 14534.00,2334.00 14540.00,2348.00 14550.00,2372.00 14554.00,2382.00 14568.00,2416.00 14574.00,2440.00 14574.00,2450.00 14578.00,2480.00 14588.00,2504.00 14588.00,2626.00 14584.00,2636.00 14560.00,2670.00 14544.00,2694.00 14534.00,2708.00 14526.00,2718.00 14496.00,2738.00 14486.00,2742.00 14466.00,2746.00 14428.00,2756.00 14418.00,2762.00 14370.00,2762.00 14340.00,2766.00 13972.00,2766.00 13956.00,2776.00 13946.00,2786.00 13938.00,2800.00 13938.00,2810.00 13928.00,2820.00 13922.00,2830.00 13922.00,2840.00 13918.00,2844.00 13912.00,2858.00 13904.00,2868.00 13898.00,2882.00 13894.00,2888.00 13884.00,2898.00 13878.00,2908.00 13874.00,2912.00 13864.00,2916.00 13864.00,2922.00 13854.00,2926.00 13844.00,2936.00 13840.00,2942.00 13826.00,2956.00 13820.00,2960.00 13816.00,2966.00 13796.00,2986.00 13792.00,2994.00 13776.00,3000.00 13772.00,3004.00 13772.00,3024.00 13782.00,3038.00 13782.00,3044.00 13792.00,3054.00 13802.00,3062.00 13806.00,3068.00 13816.00,3072.00 13820.00,3082.00 13826.00,3088.00 13836.00,3096.00 13840.00,3102.00 13844.00,3106.00 13854.00,3122.00 13860.00,3130.00 13864.00,3140.00 13870.00,3164.00 13878.00,3174.00 13878.00,3262.00 13874.00,3266.00 13864.00,3286.00 13860.00,3292.00 13840.00,3306.00 13826.00,3310.00 13810.00,3326.00 13792.00,3334.00 13762.00,3354.00 13752.00,3360.00 13724.00,3378.00 13674.00,3428.00 13664.00,3446.00 13660.00,3462.00 13640.00,3496.00 13636.00,3514.00 13626.00,3540.00 13616.00,3564.00 13596.00,3582.00 13582.00,3612.00 13538.00,3656.00 13514.00,3670.00 13500.00,3680.00 13490.00,3694.00 13476.00,3710.00 13470.00,3718.00 13466.00,3734.00 13452.00,3752.00 13446.00,3762.00 13436.00,3768.00 13426.00,3782.00 13418.00,3802.00 13408.00,3812.00 13398.00,3816.00 13384.00,3830.00 13368.00,3836.00 13358.00,3840.00 13350.00,3846.00 13330.00,3850.00 13320.00,3850.00 13300.00,3856.00 13282.00,3864.00 13184.00,3864.00 13170.00,3860.00 13164.00,3860.00 13150.00,3856.00 13130.00,3850.00 13120.00,3840.00 13106.00,3836.00 13096.00,3836.00 13076.00,3816.00 13048.00,3792.00 13014.00,3762.00 12990.00,3744.00 12970.00,3728.00 12946.00,3700.00 12940.00,3684.00 12940.00,3676.00 12936.00,3660.00 12936.00,3588.00 12946.00,3564.00 12946.00,3548.00 12956.00,3520.00 12966.00,3506.00 12970.00,3476.00 12974.00,3462.00 12980.00,3432.00 12980.00,3334.00 12974.00,3310.00 12970.00,3300.00 12966.00,3296.00 12960.00,3292.00 12946.00,3282.00 12926.00,3282.00 12878.00,3272.00 12606.00,3272.00 12590.00,3266.00 12572.00,3262.00 12572.00,3258.00 12566.00,3258.00 12552.00,3248.00 12548.00,3242.00 12538.00,3224.00 12532.00,3208.00 12532.00,3082.00 12542.00,3054.00 12548.00,3044.00 12562.00,3020.00 12572.00,3010.00 12600.00,2976.00 12624.00,2966.00 12654.00,2952.00 12658.00,2952.00 12678.00,2946.00 12698.00,2942.00 12708.00,2942.00 12746.00,2936.00 12770.00,2926.00 12810.00,2926.00 12834.00,2922.00 12966.00,2922.00 13004.00,2912.00 13014.00,2908.00 13024.00,2898.00 13042.00,2882.00 13052.00,2868.00 13068.00,2854.00 13082.00,2824.00 13086.00,2820.00 13092.00,2786.00 13106.00,2742.00 13106.00,2640.00 13102.00,2620.00 13102.00,2616.00 13086.00,2602.00 13082.00,2596.00 13076.00,2586.00 13072.00,2586.00 13068.00,2582.00 13062.00,2572.00 13052.00,2568.00 13038.00,2562.00 13004.00,2552.00 12658.00,2552.00 12650.00,2558.00 12630.00,2558.00 12606.00,2562.00 12518.00,2562.00 12488.00,2558.00 12474.00,2548.00 12450.00,2538.00 12426.00,2524.00 12416.00,2514.00 12396.00,2508.00 12392.00,2500.00 12386.00,2494.00 12372.00,2490.00 12348.00,2474.00 12338.00,2460.00 12324.00,2446.00 12308.00,2440.00 12304.00,2436.00 12300.00,2426.00",-1,-1,-1,-1,-1,-1,-1
