,X_centroid,Y_centroid,Hoechst,AF1,CD31,Ki-67,AF2,CD163,CD20,CD4,CD8a,CD68,PD-L1,FOXP3,E-Cadherin,PD-1,CD45,Pan-CK,SMA,Cell type
90210,2082.3,4946.8,10729.9531,1278.2609,394.9379,387.4317,457.2733,293.2919,748.677,325.1708,274.2484,249.3354,303.6925,244.1211,247.6118,267.9286,669.2919,226.9938,286.3913,Others
90212,1972.0,4947.8,6660.377,1309.9565,382.7935,416.4058,438.5978,350.3224,634.0797,763.4637,450.4456,551.0688,335.0217,263.2464,232.2065,308.5978,1311.9457,223.8152,280.3297,CD4+ CD68+
90213,2006.6,4948.0,9562.792,1368.5327,370.9307,395.8871,438.9386,823.5347,615.3921,1312.8456,477.8911,464.2832,374.9109,870.0119,241.1188,297.9861,1586.8892,215.7426,277.899,Others
90215,2017.4,4949.3,13193.3184,1360.5186,373.1333,394.5383,439.2691,299.4321,1585.9481,1059.7308,373.2173,259.6889,321.9926,295.4667,238.158,342.1778,1407.3704,225.1136,283.8395,CD20+ CD4+
90216,1957.5,4947.9,16550.6035,1058.599,350.9802,351.4951,386.7822,268.2426,1762.1782,915.099,272.5099,249.3465,298.1931,385.5792,245.9753,292.1733,1717.7772,237.5347,287.2327,CD20+ CD4+
90217,1999.3,4948.1,11179.4209,1429.8481,374.462,393.4684,458.5506,502.4905,1309.9557,1147.8007,341.8133,353.5475,337.2468,341.0,233.1867,301.3607,2068.8069,219.3291,271.5949,CD20+ CD4+
90219,1938.2,4949.6,15439.6436,1228.0327,359.7255,374.0262,426.8954,271.5555,1724.4117,337.3791,295.2941,240.6144,307.1961,259.6863,246.7974,285.281,1306.9053,233.3464,297.3529,CD20+
90220,2054.3,4950.9,7144.085,1987.1528,685.9264,461.2094,568.5245,337.9622,735.0547,352.6094,309.5585,264.4962,324.9453,244.0679,236.9245,287.4132,440.0528,225.7057,268.0226,Others
90222,1933.0,4949.0,9248.376,1477.1561,360.8497,365.3064,458.659,305.6879,5057.0923,361.8092,313.1156,277.3873,333.8382,253.6243,241.1329,296.4393,2326.5435,209.2081,287.2081,CD20+
90223,1952.7,4949.5,6998.2466,1480.137,368.3014,384.7534,459.7123,290.7671,4040.3835,457.5753,295.9863,286.6918,313.3904,259.6301,243.6096,298.1164,1879.9932,214.2671,292.2671,CD20+
