,X_centroid,Y_centroid,Hoechst,AF1,CD31,Ki-67,AF2,CD163,CD20,CD4,CD8a,CD68,PD-L1,FOXP3,E-Cadherin,PD-1,CD45,Pan-CK,SMA,Cell type
83906,1875.5,4600.4,4113.7231,1100.2554,310.135,349.1604,400.0682,242.2914,357.7086,282.6631,253.2914,221.6176,335.6604,241.984,243.2286,254.5495,251.8703,222.2727,287.8971,Others
83910,1502.9,4605.3,6141.5903,2472.2705,504.3052,660.7001,632.9143,412.8487,729.3856,397.1098,340.4779,286.5676,335.585,265.7631,261.4257,278.1017,765.8488,226.0616,301.0281,Others
83911,1543.8,4604.7,5839.6772,2042.6794,475.9306,491.8373,620.9594,241.299,434.8636,356.4019,264.2919,228.5048,280.0813,234.6483,269.6699,177.5813,258.4498,223.7488,3196.6267,Others
83912,1561.9,4604.6,6588.6152,2407.343,852.0209,527.7016,633.5524,327.0471,537.7435,352.8377,302.8822,262.7906,305.7408,260.5497,257.4503,258.0864,260.2827,222.0419,1260.7905,Others
83913,1570.1,4604.8,5877.7031,1568.8276,441.9496,469.1485,532.0557,255.0318,421.8674,343.4509,268.992,208.7639,286.4748,246.1777,254.1167,193.7905,254.7984,220.1698,2043.6472,Others
83914,1617.9,4604.8,2904.9548,1528.1915,345.6507,434.3437,507.9437,290.6028,452.9577,366.2422,285.0366,257.2197,319.2986,270.462,254.769,338.6986,804.9437,226.9747,303.8761,Others
83916,1555.8,4607.5,5507.3594,2314.4868,969.1564,575.8173,621.0113,313.3755,519.97,374.3755,314.4693,256.1339,301.9324,253.6921,255.8385,215.7409,265.8123,219.2078,1957.5507,Others
83917,1565.8,4609.1,7053.8618,1921.178,596.2542,456.7175,577.0113,269.6836,445.9548,350.8588,277.5763,239.2175,292.2881,235.904,255.8729,213.2288,254.8616,223.3503,1901.8842,Others
83918,1584.9,4609.2,3058.1387,1327.3738,388.5405,352.595,472.3987,267.8349,385.0093,307.6651,257.6854,237.4657,288.2975,251.7928,245.028,274.2913,258.5078,226.5545,324.0436,Others
83919,1692.7,4611.5,6749.6802,1282.0409,328.8531,372.3885,446.0167,609.8271,427.1561,359.3234,271.0929,273.0669,332.4034,257.6431,249.3141,276.9684,295.2435,229.145,303.5149,Others
83922,1722.2,4612.6,4202.8584,2040.9235,365.5943,393.5024,567.2325,280.2679,427.5665,314.7502,267.5828,244.6727,299.3282,243.4057,252.0201,264.2861,269.9014,223.2124,294.067,Others
83925,1549.8,4614.2,7664.0488,1425.3884,360.1186,389.3512,503.0488,275.807,404.0814,406.4116,260.5256,248.1628,303.0488,231.7209,255.6861,245.5605,383.1791,227.6744,605.5488,Others
83926,1682.1,4615.7,3281.2695,1038.5576,304.2574,346.7306,415.2238,251.2748,383.504,277.6233,251.3861,223.7212,333.7225,243.0764,248.2399,264.4906,267.181,225.3378,305.1917,Others
83929,1926.1,4615.9,7138.5088,1250.972,337.6471,385.5,414.5721,259.9323,386.3294,303.0721,264.6985,234.6162,362.0118,249.5015,248.4279,256.1603,252.5765,220.9765,281.35,Others
83931,1578.9,4619.5,6124.019,1147.0564,316.6194,344.6671,437.0637,315.3531,379.7583,289.6049,249.5962,240.0926,282.0912,241.0101,248.8871,255.0941,267.7988,223.9855,315.8235,Others
83932,1613.0,4619.5,2648.6196,880.1834,295.6134,307.4201,393.5452,238.746,338.1165,278.8178,237.9517,218.6766,275.2144,238.6679,245.7769,258.7137,262.3123,224.0421,353.0781,Others
83935,1546.5,4621.5,2867.1321,852.6907,288.4247,317.3794,372.6289,252.3052,348.0474,273.9979,237.8907,221.6,279.2557,238.7258,249.8825,250.0701,258.8371,224.2701,317.1732,Others
83936,1701.9,4622.8,6412.5835,973.3318,427.4726,325.5837,398.2548,269.5956,1208.9674,303.597,251.317,232.3689,294.9007,248.5452,250.437,273.077,738.1689,226.1126,300.357,CD20+
83941,1678.6,4623.8,1518.8989,1033.0,306.227,339.5685,425.3393,246.3281,393.3416,269.9416,245.5528,235.3596,304.8517,240.6112,254.7011,261.0584,281.6854,225.3124,297.1191,Others
83942,1822.4,4626.2,5024.4619,1215.7531,314.9268,366.9055,453.5686,252.2165,392.7774,293.311,248.2378,223.6844,324.2363,242.314,248.2607,262.6738,260.721,222.1753,300.5046,Others
83944,1691.1,4628.4,4996.1206,1097.1476,334.9113,346.2404,431.9247,289.8359,413.6151,323.2177,252.937,234.9855,290.3798,245.2208,245.5428,273.7596,323.8762,222.3571,288.7575,Others
83945,1626.7,4628.8,6092.709,1268.0298,457.6281,367.6198,468.3653,259.7339,403.1521,324.1471,271.124,236.1554,298.3174,242.5074,255.4033,266.1405,274.3967,225.8694,634.476,Others
83946,1638.0,4630.2,6088.0991,1512.3969,520.1544,443.6567,519.2425,320.3181,453.5811,396.0047,276.6063,252.285,319.5606,246.5417,256.6866,239.4567,291.2126,221.2898,1513.0566,Others
83947,1878.8,4630.7,3962.3799,1119.5474,320.1982,357.1366,415.4615,234.3348,354.4427,280.0859,239.8921,225.3326,333.641,242.8084,248.3238,256.8073,253.0242,224.0947,292.7632,Others
83951,1589.4,4631.1,6674.4976,1307.493,335.4977,366.424,465.2458,398.2412,418.2934,539.8172,270.4516,380.5699,313.5376,257.3303,247.7681,292.2243,734.3256,229.3303,301.2657,Others
83952,1707.9,4631.7,2876.2175,1304.5868,366.2549,362.0813,488.9099,301.2615,411.367,395.5428,254.2044,236.5495,292.3582,243.756,248.6945,323.0308,371.6286,226.5209,295.7582,Others
83953,1725.6,4631.9,4436.2114,1199.4705,373.4933,370.3467,441.2229,268.5257,440.9314,298.2019,260.36,237.2876,304.9771,248.0267,245.8419,271.259,285.56,222.4267,290.8438,Others
83955,1598.1,4633.5,7460.8926,1413.5931,349.5335,385.3979,493.5633,515.0507,443.6841,445.9255,294.6319,413.3607,320.7392,254.3219,248.8838,291.1386,725.0805,228.3979,298.1252,Others
83956,1914.9,4634.3,5613.9551,2552.1057,542.8077,720.8846,601.8718,396.2308,715.2436,388.5545,337.8125,283.4375,354.7596,259.6699,259.234,262.9663,419.2324,225.633,291.9984,Others
83960,1609.0,4635.3,7835.5571,1537.7196,382.5215,436.4822,477.1215,1144.4972,537.5197,503.0224,297.015,414.1589,350.4392,270.7533,249.9944,284.114,419.1869,230.514,288.8299,CD163+
83961,1616.7,4635.4,5618.9727,1528.1439,410.7743,417.5486,499.5175,458.6654,492.7957,443.3366,285.9533,324.4708,331.2821,253.2743,253.1595,277.0467,470.9358,227.8872,524.6595,Others
83963,1509.0,4636.6,4653.2007,896.4312,297.3848,326.5161,382.9807,255.6255,365.8932,294.9189,242.6409,223.529,301.6165,244.0708,252.7091,256.5238,260.7477,224.6268,299.3977,Others
83964,1529.9,4636.5,5115.1289,1401.6488,380.0821,423.1313,439.465,1683.8228,457.7735,578.7703,280.1576,378.3578,339.2505,251.5284,248.4803,275.9705,336.9967,228.2363,300.8479,CD163+
83966,1687.6,4636.2,6514.4741,1307.4203,328.2798,377.8621,470.2892,425.1125,441.7108,368.158,271.1714,268.0844,312.1941,253.7564,246.1339,269.1392,357.3762,221.9183,299.7082,Others
83969,1642.3,4638.2,10134.2715,1315.8033,339.6067,370.7237,468.1581,531.9962,431.3933,546.3702,269.8651,279.1517,306.3637,245.2005,246.0848,313.9627,584.41,225.7854,321.6337,Others
83970,1723.1,4637.2,6136.3789,1318.2307,348.6473,372.3565,471.6454,309.3396,425.2814,310.0563,269.8818,277.3846,296.6792,249.2101,245.8724,262.8518,298.1932,223.2458,303.4915,Others
83972,1669.2,4638.6,6306.9268,1666.4158,394.2416,430.2921,513.7435,961.4251,750.0356,496.8165,299.6742,413.1648,338.7921,253.5618,247.2079,281.4888,794.9269,229.6723,292.1105,CD163+
83974,1760.7,4638.3,5193.6133,1134.777,422.7068,357.3365,442.3676,255.6095,404.7527,304.3527,249.527,227.7892,291.9676,246.8351,247.7324,264.3,282.1054,220.8797,306.1216,Others
83975,1658.8,4640.0,12848.4102,1569.5997,382.9885,409.5124,534.6689,687.4926,603.5618,478.0445,290.5173,314.1614,343.0313,251.603,247.481,285.9012,839.7018,229.6343,295.9736,Others
83976,1601.3,4639.6,6239.124,1531.415,377.3932,389.1796,500.1578,2202.5364,452.2694,548.8787,293.2597,652.8981,369.3665,245.0947,247.5558,294.4442,564.0971,229.1408,296.8908,CD163+ CD68+
83977,1678.5,4639.7,9695.041,1704.0483,391.1473,453.872,530.1642,488.4662,556.884,381.6449,293.8841,276.9759,312.43,250.0821,252.8092,270.2005,402.6473,227.2101,320.2415,Others
83978,1706.6,4639.4,6271.0947,1458.6173,371.7122,388.0349,514.4642,297.1597,466.5707,402.8519,273.5757,255.2396,323.8985,252.6739,245.9301,281.1265,386.5175,224.4775,289.4775,Others
83979,1790.7,4639.2,2634.5581,1458.0809,425.4452,434.0776,485.3204,286.9781,502.7083,305.7116,275.7217,240.5852,304.3625,249.3862,249.4216,269.0,275.6172,221.8567,312.231,Others
83981,1563.7,4640.7,6346.9043,1503.6245,371.3961,382.1381,462.1161,1884.0452,419.8155,606.4207,271.929,504.8916,306.3794,248.4026,248.8813,268.9342,422.2981,227.0839,294.12,CD163+
83985,1613.7,4642.1,12053.7148,1539.3231,365.1486,432.5378,516.5425,449.8868,719.5354,602.7854,397.2854,287.9906,333.2759,252.5778,248.3255,340.3349,727.3066,228.4009,297.3396,Others
83986,1548.3,4643.0,8385.6016,2160.1013,403.5927,484.8147,674.4073,390.6958,558.278,399.2325,294.8706,290.2378,318.6049,260.6311,248.4038,296.5175,371.1713,229.7587,299.3025,Others
83987,1623.0,4642.1,14043.4893,1656.7605,413.0914,454.5407,540.6173,402.2864,972.5531,469.2766,1096.921,297.679,318.6296,255.4494,240.6124,318.9136,784.9037,231.7383,294.6642,CD8a+
83988,1654.2,4642.8,13787.5039,1444.9783,375.2043,386.9565,485.6609,955.2131,1144.0652,442.9913,283.4522,316.3565,324.9044,261.9131,242.6522,282.7174,1092.9827,238.9,293.2957,Others
83989,1773.7,4642.5,9574.2676,1528.972,355.9338,407.201,528.3104,276.0789,431.1451,330.7048,272.2799,237.6438,300.9364,244.5827,244.0255,258.2061,325.9135,224.7125,472.3715,Others
83991,1605.4,4644.4,7892.7349,1616.8839,362.4681,405.4275,511.9942,662.4603,624.5474,615.1992,319.5609,326.5377,336.8994,263.8414,247.7311,303.646,598.5958,227.5919,290.6093,Others
83992,1629.9,4642.3,11133.5908,2840.981,549.2286,691.5381,716.7476,441.9619,890.6905,599.2714,503.7952,306.8905,323.0667,272.1381,254.7524,293.3571,780.1,228.681,298.0524,Others
83993,1635.7,4642.8,10502.2002,2275.3389,464.8082,634.3714,620.3837,383.7837,711.5755,794.9673,350.9061,279.9633,328.5388,269.7429,252.2163,330.0122,921.7918,225.4694,296.8857,CD4+
83994,1802.7,4643.5,5186.3667,1508.5327,422.7749,442.3861,486.3351,290.6976,498.7618,332.4633,273.8573,244.8456,318.322,262.0511,254.2749,277.0013,280.7814,222.0877,301.1204,Others
83996,1589.6,4644.7,6992.7959,1401.3822,332.4909,366.2387,475.2281,369.7085,517.6888,431.4819,262.784,238.0952,288.8489,244.1798,245.5393,270.4743,428.3671,227.4471,296.2931,Others
83997,1712.9,4643.1,6285.9521,1424.0876,326.6733,387.996,479.6295,247.2829,466.8526,2057.8286,273.1434,247.3426,578.7251,246.0518,239.0199,424.7968,1819.3027,221.0916,298.7689,CD4+
83998,1723.5,4643.9,5215.981,1486.0873,355.2406,387.5283,485.1368,280.8892,1054.026,504.4481,290.6132,344.342,442.3396,252.7594,241.9481,290.4316,819.441,226.6439,304.5991,CD20+
83999,1879.6,4645.6,5367.0352,1286.7682,343.8128,387.5209,441.1913,248.6913,389.1201,285.3017,257.5517,229.3925,348.8799,246.1941,245.1676,259.2346,257.7919,223.4106,287.1313,Others
84000,1648.3,4644.9,7954.4917,1269.2766,337.3286,350.487,454.3404,1115.1206,1227.2554,680.6501,288.7187,300.7328,331.9693,252.7329,240.8936,332.9267,1177.0378,231.3239,286.13,Others
84004,1704.4,4644.7,13083.165,1651.6384,399.2634,431.8125,544.0625,292.7857,563.1786,885.3125,299.8482,731.6607,467.875,267.3482,245.2857,312.9152,1375.9241,225.6205,305.0089,CD4+ CD68+
84009,1641.0,4645.9,11206.917,1283.9318,388.8783,373.9021,480.273,286.3086,463.6884,726.9496,267.543,247.089,305.4718,249.7656,249.7418,296.2077,950.6973,225.1573,303.6202,CD4+
84011,1633.4,4647.2,12175.1553,1678.9442,399.8167,463.3785,542.0,305.6215,1155.8048,1073.0,308.251,256.7888,304.7211,280.6813,250.0757,321.0837,1412.1992,235.4502,305.7928,CD20+ CD4+
84012,1688.8,4646.7,4799.8721,1496.0753,381.9736,412.9171,520.0396,266.0358,490.5725,335.3145,267.3955,247.9849,293.6912,248.9473,250.7156,252.9642,319.4934,227.017,755.6836,Others
84013,1708.6,4646.8,17473.043,1458.5054,343.5053,394.3032,537.9894,268.4681,496.6223,1215.7288,291.5372,279.9575,371.7287,269.9043,246.633,332.4468,1787.9202,234.6968,295.5798,CD4+
84014,1620.6,4648.0,13533.5811,1494.0167,369.65,414.4881,514.1762,316.5214,1082.8357,419.7571,530.4095,250.2809,313.0405,276.7548,242.7762,301.669,687.1476,227.181,294.269,CD20+
84015,1628.0,4646.9,11799.4072,1473.8966,371.4621,406.6,503.4345,292.9448,1026.5862,840.6276,489.4207,262.1793,309.6414,253.1793,237.0552,307.2276,1201.8138,228.869,297.5586,CD20+ CD4+
84016,1665.8,4647.7,7289.7725,1594.0537,350.2954,398.1649,521.4821,449.5895,1361.6573,367.5332,290.9246,283.3133,347.5844,256.2686,240.422,279.5243,435.6586,224.61,282.399,CD20+
84017,1794.6,4647.5,4673.8428,1252.5262,332.4022,366.1638,457.0286,248.806,387.1494,289.213,250.9491,223.7949,282.7965,242.841,248.5119,257.7663,271.0048,221.1701,373.8331,Others
84019,1613.2,4649.9,8639.7725,1450.5417,358.0371,596.0759,500.5078,457.4922,947.3545,577.7136,299.2152,308.0712,308.8824,256.1254,242.9087,295.9489,802.918,227.2229,292.6749,Others
84020,1597.6,4647.9,14723.5566,1553.4586,367.2675,399.3397,522.1125,335.8578,523.499,942.7452,316.5308,286.8875,304.3036,301.1529,245.8302,297.4926,844.6221,229.8174,292.2505,CD4+
84021,1714.7,4647.7,16876.0234,1445.3549,350.341,516.7696,512.682,272.7512,706.9539,929.7327,287.5392,265.0415,356.7097,311.0829,251.341,406.8756,1301.5668,230.7696,308.7742,CD4+
84022,1555.8,4647.9,8733.3008,1343.9185,336.9022,371.1359,501.4131,456.7174,404.7736,1277.9384,258.3478,265.3931,303.5399,244.4004,245.8678,351.0127,985.9946,224.0489,294.7065,CD4+
84023,1697.8,4647.5,11136.4912,1562.5896,384.3555,396.2688,520.3208,278.5173,2081.3669,617.1329,310.1647,832.0751,380.5665,267.3902,250.5491,296.6069,967.9798,229.3092,311.1763,Others
84024,1740.2,4648.2,8921.3623,1334.3528,366.5937,372.4756,466.5905,268.5669,435.4929,416.4252,317.4961,260.5338,357.0992,248.378,244.2787,282.7842,531.1512,224.9465,306.2835,Others
84025,1573.9,4647.8,2987.7649,1062.1885,311.614,327.8546,448.4596,272.781,368.5009,298.9623,243.4973,227.6176,285.1562,240.5153,248.298,253.9731,288.9803,225.6248,360.1454,Others
84026,1730.1,4648.1,8841.5654,1344.0326,348.2744,386.4946,467.2201,260.2473,483.4756,1123.6766,594.25,236.4456,463.3723,281.9484,242.7636,318.0081,1452.6685,222.5978,299.2772,CD4+
84027,1656.2,4648.8,13326.582,1237.4805,344.5039,348.6841,464.8068,562.4673,1319.7075,383.3446,279.3708,278.8199,329.6031,268.3003,237.4047,299.0914,1112.6266,218.5927,278.2663,CD20+
84028,1590.7,4651.4,15321.0293,1620.3748,366.8926,405.44,539.0505,572.4484,646.3663,1037.72,285.7221,333.7937,317.7769,310.4084,249.3158,304.7053,920.1537,232.9516,287.7095,CD4+
84029,1750.3,4648.5,6717.6436,1267.7214,394.8445,370.6544,455.203,254.257,442.0432,360.5832,260.162,236.1857,316.4492,250.905,243.5421,259.108,369.4536,222.5853,344.8855,Others
84030,1624.4,4650.6,10003.4541,1358.5363,371.9372,401.2657,482.1014,360.6618,1165.8502,721.8551,307.7295,263.1256,332.9855,248.285,240.7585,295.4831,1171.8213,230.6956,294.4783,CD20+ CD4+
84031,1704.1,4651.8,13206.8701,1451.6187,359.1199,392.3981,508.1463,271.7266,519.7889,1395.3549,303.5732,581.0576,402.4604,433.3669,244.3453,328.8753,1898.3717,226.3861,292.5204,CD4+ CD68+
84037,1642.0,4650.3,12206.6875,1404.3259,396.6696,397.9375,502.8795,286.3438,555.9241,813.4598,287.3527,258.5134,332.2634,252.692,242.4777,395.5,1147.25,227.9866,287.8214,CD4+
84038,1710.4,4652.3,12115.7031,1449.5551,343.1722,408.3756,500.8564,277.256,775.244,1166.3302,295.9115,365.5957,353.0,274.8349,241.3756,413.9546,1759.6436,219.2966,310.8373,CD4+
84039,1718.8,4649.7,11608.1084,1472.1937,345.9955,1068.0856,498.8108,273.8468,1664.8964,989.5135,302.8874,254.2252,419.3784,276.0856,237.6577,383.6036,1696.0181,218.2838,292.1982,Others
84040,1810.1,4649.9,6133.4712,1406.1034,366.7,389.317,494.1169,264.9797,416.9271,303.4424,260.0644,236.4288,299.8627,254.2763,248.8475,271.139,274.6373,220.3051,341.839,Others
84042,1675.9,4651.0,9168.2129,1348.3008,408.2082,379.2699,509.9254,276.3625,691.9023,327.5784,264.9486,239.5758,275.2725,235.2725,250.2879,258.6864,402.9306,227.5887,356.7763,Others
84043,1827.3,4651.0,2412.9297,1342.0869,354.4554,402.9507,469.7206,1593.486,420.8333,395.0047,269.9155,320.9554,312.7958,242.6408,250.6854,271.7676,316.9437,224.9906,297.0235,CD163+
84045,1629.7,4651.3,11031.3955,1411.8737,359.7527,389.4231,488.4121,292.4506,1264.8462,1283.3352,308.2747,237.2033,318.3517,277.8297,247.456,313.467,1949.8187,214.5385,296.0439,CD20+ CD4+
84046,1636.7,4651.4,18487.5176,1252.4752,355.9149,381.4752,478.1631,272.0142,1134.3759,1409.2625,289.8085,256.5461,333.0213,254.1631,243.6383,327.1418,1841.5532,228.2766,292.0709,CD20+ CD4+
84047,1725.2,4651.4,12012.6924,1495.9434,341.9409,471.7069,510.0148,276.3325,1075.9064,901.0049,358.8571,268.1035,405.9236,739.2241,244.3473,327.4089,1467.7413,227.569,310.3744,Others
84048,1648.3,4651.8,9329.8857,1203.6239,351.9164,393.1448,444.4568,372.0028,714.9499,1159.6156,286.8273,246.7298,321.5181,254.0,242.7744,407.4123,1412.4513,228.8858,300.5237,CD4+
84049,1653.9,4653.1,13625.5107,1374.4663,362.8116,383.6502,493.6099,276.1614,685.287,570.3318,291.7803,256.3094,340.1525,259.861,248.0404,319.5022,943.8431,230.9148,304.4619,Others
84050,1696.4,4654.6,9976.7217,1311.3954,335.9402,386.6046,464.0621,248.4184,593.3425,1720.131,284.9379,340.0988,381.5012,258.5977,243.1724,359.7563,1872.6666,222.0368,280.8896,CD4+
84051,1583.1,4651.7,7665.0586,1387.0402,326.8321,365.5693,477.0985,330.6752,2072.1753,925.9416,276.4015,243.4088,301.4598,250.5219,239.3613,297.1898,1435.9124,226.281,290.1971,CD20+ CD4+
84053,1604.7,4652.3,14567.1562,1518.3551,377.6667,395.4704,547.1059,335.352,1081.0592,665.5638,519.2648,266.6386,303.3645,294.5109,246.4922,321.5109,838.3894,228.0062,298.8505,CD20+
84054,1633.7,4654.2,16067.873,1305.6842,354.4781,364.807,486.0263,335.9868,1790.5702,893.0307,294.0351,271.114,328.5789,253.7237,245.4781,298.4518,1907.0,219.5833,298.75,CD20+ CD4+
84055,1758.7,4653.3,11753.7314,1444.1406,382.6527,392.1978,504.7582,268.6659,1360.8726,598.2945,294.2813,244.9604,320.1516,255.2418,243.7209,282.3363,1313.9473,222.8066,310.9099,CD20+
84056,1750.1,4653.5,13786.5869,1355.5978,340.7256,382.6842,475.7331,264.5226,633.8609,1247.1204,305.7556,264.406,401.0714,268.5977,243.5977,303.7218,1634.1316,224.3308,299.703,CD4+
84057,1626.5,4654.0,16459.666,1423.537,363.463,396.4352,507.5463,303.5926,510.5278,1067.0834,313.0463,248.5926,357.9074,281.7963,243.25,304.0833,1406.4352,226.6759,297.3055,CD4+
84059,1641.2,4654.5,9987.9697,1411.619,365.7186,387.1688,482.2814,277.9134,699.7056,775.1342,293.303,261.381,329.6494,257.3074,244.5411,327.7706,1285.4849,235.329,296.6926,CD4+
84060,1736.3,4654.4,11600.7422,1395.4586,332.1773,379.7494,486.3948,259.7045,482.3262,1355.1229,645.0591,263.7542,393.9314,289.3286,245.4846,330.234,1844.2222,223.8392,296.6241,CD4+
84061,1575.9,4655.0,8383.4932,1517.2603,361.6986,388.7762,517.9634,473.1964,1291.1804,514.1141,286.5708,272.226,327.9795,258.9909,243.8676,284.6393,1068.8676,230.4155,367.8356,CD20+
84062,1595.7,4657.0,14475.8506,1560.7828,389.8322,405.1749,548.725,330.488,726.811,966.928,531.6911,254.519,306.6206,369.6107,245.2976,349.543,977.3893,231.9055,295.3202,CD4+
84063,1721.3,4656.3,7239.1807,1469.9075,325.5837,419.5374,491.8502,268.5507,777.2181,702.1212,303.5418,362.7929,430.9383,294.7599,249.522,305.6234,842.9449,224.8458,287.9075,Others
84064,1729.7,4656.2,11078.9814,1401.783,335.3113,395.3962,477.8271,267.1855,551.9591,1208.6101,366.2516,431.4843,396.8836,415.3019,242.022,337.588,1700.3459,220.7799,292.3365,CD4+
84065,1774.7,4654.8,8173.0894,1428.3892,369.0466,401.6909,480.162,262.1992,456.8883,792.5494,286.0559,526.8287,380.3613,296.4897,248.7542,282.5884,882.0764,224.6276,338.2589,CD4+ CD68+
84066,1690.1,4656.0,8152.5049,1437.3876,333.4546,410.9115,490.4258,270.3469,755.4569,779.3828,392.4713,400.701,349.9713,252.0287,245.6746,362.4234,1102.5837,226.9498,312.6316,CD4+
84067,1701.1,4655.8,15182.0293,1361.6919,366.7151,396.6628,481.5291,264.3663,506.7325,1485.2675,318.2442,253.4767,341.7267,336.4244,255.2907,327.0407,1851.6744,236.6046,295.814,CD4+
84069,1684.5,4654.7,10510.0762,1501.4183,358.5099,447.4382,495.7291,275.012,2011.4821,588.9044,578.4701,287.1195,349.8327,254.8367,244.0199,301.3745,1233.8805,228.6215,309.1952,CD20+
84070,1766.4,4654.8,11898.8281,1419.2977,388.8244,403.8626,487.6069,261.3702,509.271,706.6946,286.4313,290.7939,326.6069,254.3282,248.7748,282.3244,844.3588,223.5611,313.3053,Others
84071,1785.1,4654.8,5905.5986,1301.8452,390.0487,366.6819,460.6361,452.0774,406.5301,393.106,261.4928,260.3438,303.9456,259.3639,247.8882,265.9427,374.9914,220.4441,363.4642,Others
84073,1583.7,4656.2,13626.8369,1658.4584,373.9924,405.3977,548.3485,484.6401,1884.2689,829.5985,297.5341,278.0947,325.106,269.2841,248.1894,308.2803,1091.7765,233.2652,292.981,CD20+ CD4+
84074,1608.1,4655.8,15239.1191,1574.9851,378.6269,466.8706,547.6716,280.7115,679.3433,1676.7413,334.9403,262.6965,342.2786,644.7612,236.0448,324.8458,1528.214,235.4179,281.7363,FOXP3+ CD4+
84075,1714.3,4656.5,14683.3691,1385.4779,331.1695,392.3797,490.8,260.122,1810.0712,1416.1559,295.1356,266.939,360.5661,983.6136,243.7627,325.7864,1808.7898,222.1085,285.4,Others
84076,1620.1,4655.4,11968.2471,1233.4934,361.2335,372.2599,486.1542,743.5374,507.5418,678.1234,289.7401,307.8855,301.2203,253.4053,245.8855,299.0088,912.3701,229.2731,291.1894,CD163+
84077,1679.8,4656.1,13712.4785,1481.2174,366.6917,419.083,496.6956,278.8972,1551.5574,411.4111,357.5257,290.2648,334.6443,251.8933,248.2688,290.4783,1004.3241,228.5138,300.7826,CD20+
84078,1792.0,4655.8,6662.0439,1465.7413,369.5773,405.8801,501.8833,325.0789,430.1893,371.3628,275.959,264.6057,300.6688,255.2429,247.8675,256.5647,300.1893,219.6183,473.5363,Others
84079,1628.9,4658.2,11453.7334,1383.4591,356.9075,389.1174,493.2064,456.6263,852.3772,1440.0747,431.7651,288.2527,350.0498,295.8505,242.2384,304.0961,1974.089,227.0,293.9075,CD4+
84080,1665.1,4656.7,3185.5913,1483.9264,343.4822,381.066,503.1396,279.4137,560.8705,477.3096,285.703,305.6853,351.0482,260.6624,240.8376,278.8274,604.566,223.7919,282.4112,Others
84081,1624.5,4656.7,13267.9648,1463.3684,402.9298,406.6579,501.9386,897.0526,549.0702,928.7807,382.2544,315.2281,371.9561,267.6404,242.0175,305.0789,1156.272,225.7368,297.4737,CD163+ CD4+
84082,1672.4,4657.6,12119.3682,1618.1305,375.9725,409.1007,530.3593,305.2197,1681.4645,407.0343,452.3021,372.3433,353.7094,265.4737,251.5606,307.4256,1517.1899,231.5378,292.5149,CD20+
84083,1616.3,4656.1,19065.6289,1398.3933,376.7416,414.5618,525.2921,313.2921,484.4157,1039.3595,293.7079,271.7753,318.9326,261.2809,246.2247,303.0562,1253.4832,239.7528,289.427,CD4+
84084,1647.6,4657.7,7313.4004,1456.8605,349.27,915.4985,482.641,286.9703,748.0831,938.5549,327.7003,257.8843,340.2226,263.3175,248.4659,325.5312,1334.371,234.7478,296.4006,Others
84085,1656.5,4658.6,11689.123,1414.4468,342.4134,392.5971,504.5491,279.904,596.6618,947.6367,296.6054,300.1002,350.5094,262.4864,243.5052,367.2359,1231.808,223.4906,289.6284,CD4+
84088,1600.3,4658.9,21185.0527,1502.7343,379.2609,409.599,549.1836,313.8503,534.4299,1655.8695,991.3817,249.942,323.0676,368.4155,243.8309,396.8068,1600.116,235.4831,301.3188,CD8a+ CD4+
84089,1746.0,4657.2,7930.0879,1428.5608,329.6487,383.5338,474.8784,269.9933,451.8446,755.5135,309.8987,476.8108,337.6487,272.6689,245.7905,325.7027,839.1216,230.5405,293.75,CD4+
84090,1756.1,4658.4,13638.29,1369.8116,353.4106,457.5749,470.4541,259.058,639.9952,1166.0725,312.8792,259.1208,344.8744,284.1739,248.1498,306.7391,2107.0,222.3333,304.5266,CD4+
84091,1611.8,4659.9,18324.2793,1365.7965,350.7587,400.186,515.4506,275.9855,486.9796,1843.314,289.7704,247.7733,347.1366,274.3401,238.6454,328.4477,1949.0087,221.0262,280.6017,CD4+
84095,1703.3,4659.8,13612.0029,1374.8344,333.638,379.6411,484.7423,290.7147,1514.6472,932.0644,299.411,298.1472,335.8988,441.6258,239.6779,320.6258,1488.2025,227.8742,293.8129,CD20+ CD4+
84096,1741.0,4659.7,8273.2842,1379.1588,333.346,378.481,461.3554,269.0853,461.9265,656.4407,292.1422,344.5545,356.2986,278.9597,249.3389,305.9218,833.8104,226.3081,295.2251,Others
84097,1751.0,4658.6,12381.0166,1348.4043,336.8681,397.383,462.7787,239.6894,472.3362,2224.3022,319.3404,260.1404,391.5872,334.3617,250.9064,347.1319,2471.166,208.0766,292.8468,CD4+
84098,1603.0,4661.8,16633.3066,1466.6302,371.606,401.0212,544.6727,455.1394,505.3152,1471.9849,783.4303,276.1909,325.2545,403.2879,242.0212,343.9606,1439.4849,224.0727,315.4273,CD8a+ CD4+
84099,1761.7,4659.5,13048.6816,1321.0969,342.0182,402.0848,458.3606,257.7273,536.1243,1022.5182,305.103,269.5545,353.6242,327.2727,247.197,305.7242,1668.6576,227.3758,301.597,CD4+
84100,1833.7,4659.6,3460.2488,1244.3636,346.1088,369.3189,464.3636,341.9747,420.459,297.0164,252.1997,229.4098,280.7064,241.9225,246.3309,260.1863,282.5753,223.1207,332.1669,Others
