Filename,count
LSP12022-D6-cellRingMask.ome.tif,2313
LSP12022-D7-cellRingMask.ome.tif,13037
LSP12022-D8-cellRingMask.ome.tif,1018
LSP12022-D9-cellRingMask.ome.tif,2529
LSP12022-E1-cellRingMask.ome.tif,27158
LSP12022-E10-cellRingMask.ome.tif,8566
LSP12022-E11-cellRingMask.ome.tif,7034
LSP12022-E2-cellRingMask.ome.tif,13529
LSP12022-E3-cellRingMask.ome.tif,7
LSP12022-E4-cellRingMask.ome.tif,9477
LSP12022-E5-cellRingMask.ome.tif,15340
LSP12022-E6-cellRingMask.ome.tif,12617
LSP12022-E7-cellRingMask.ome.tif,12953
LSP12022-E8-cellRingMask.ome.tif,7026
LSP12022-E9-cellRingMask.ome.tif,7439
LSP12022-F1-cellRingMask.ome.tif,16382
LSP12022-F10-cellRingMask.ome.tif,5479
LSP12022-F11-cellRingMask.ome.tif,14460
LSP12022-F2-cellRingMask.ome.tif,2270
LSP12022-F3-cellRingMask.ome.tif,4067
LSP12022-F4-cellRingMask.ome.tif,6416
LSP12022-F5-cellRingMask.ome.tif,10369
LSP12022-F6-cellRingMask.ome.tif,28082
LSP12022-F7-cellRingMask.ome.tif,1392
LSP12022-F8-cellRingMask.ome.tif,438
LSP12022-F9-cellRingMask.ome.tif,18881
LSP12022-G1-cellRingMask.ome.tif,14863
LSP12022-G10-cellRingMask.ome.tif,62
LSP12022-G11-cellRingMask.ome.tif,8506
LSP12022-G2-cellRingMask.ome.tif,29
LSP12022-G3-cellRingMask.ome.tif,17356
LSP12022-G4-cellRingMask.ome.tif,1448
LSP12022-G5-cellRingMask.ome.tif,19067
LSP12022-G6-cellRingMask.ome.tif,8897
LSP12022-G7-cellRingMask.ome.tif,7025
LSP12022-G8-cellRingMask.ome.tif,41
LSP12022-G9-cellRingMask.ome.tif,4623
LSP12022-H1-cellRingMask.ome.tif,2454
LSP12022-H10-cellRingMask.ome.tif,763
LSP12022-H11-cellRingMask.ome.tif,1749
LSP12022-H2-cellRingMask.ome.tif,6256
LSP12022-H3-cellRingMask.ome.tif,8368
LSP12022-H4-cellRingMask.ome.tif,13614
LSP12022-H5-cellRingMask.ome.tif,425
LSP12022-H6-cellRingMask.ome.tif,377
LSP12022-H7-cellRingMask.ome.tif,4312
LSP12022-H8-cellRingMask.ome.tif,621
LSP12022-H9-cellRingMask.ome.tif,9248
