Filename,Number of Objects,Number of Features
LSP12022-A7_LSP12022-A7-cellRingMask.csv,389,50
LSP12022-A8_LSP12022-A8-cellRingMask.csv,11547,50
LSP12022-A9_LSP12022-A9-cellRingMask.csv,500,50
LSP12022-B10_LSP12022-B10-cellRingMask.csv,5466,50
LSP12022-B11_LSP12022-B11-cellRingMask.csv,11255,50
LSP12022-B1_LSP12022-B1-cellRingMask.csv,5886,50
LSP12022-B2_LSP12022-B2-cellRingMask.csv,1701,50
LSP12022-B3_LSP12022-B3-cellRingMask.csv,10588,50
LSP12022-B4_LSP12022-B4-cellRingMask.csv,7856,50
LSP12022-B5_LSP12022-B5-cellRingMask.csv,4977,50
LSP12022-B6_LSP12022-B6-cellRingMask.csv,14288,50
LSP12022-B7_LSP12022-B7-cellRingMask.csv,8981,50
LSP12022-B8_LSP12022-B8-cellRingMask.csv,668,50
LSP12022-B9_LSP12022-B9-cellRingMask.csv,5286,50
LSP12022-C10_LSP12022-C10-cellRingMask.csv,10977,50
LSP12022-C11_LSP12022-C11-cellRingMask.csv,1682,50
LSP12022-C1_LSP12022-C1-cellRingMask.csv,191,50
LSP12022-C2_LSP12022-C2-cellRingMask.csv,7891,50
LSP12022-C3_LSP12022-C3-cellRingMask.csv,197,50
LSP12022-C4_LSP12022-C4-cellRingMask.csv,2765,50
LSP12022-C5_LSP12022-C5-cellRingMask.csv,12238,50
LSP12022-C6_LSP12022-C6-cellRingMask.csv,475,50
LSP12022-C7_LSP12022-C7-cellRingMask.csv,10038,50
LSP12022-C8_LSP12022-C8-cellRingMask.csv,208,50
LSP12022-C9_LSP12022-C9-cellRingMask.csv,20137,50
LSP12022-D10_LSP12022-D10-cellRingMask.csv,28,50
LSP12022-D11_LSP12022-D11-cellRingMask.csv,2521,50
LSP12022-D1_LSP12022-D1-cellRingMask.csv,103,50
LSP12022-D2_LSP12022-D2-cellRingMask.csv,5427,50
LSP12022-D3_LSP12022-D3-cellRingMask.csv,7947,50
LSP12022-D4_LSP12022-D4-cellRingMask.csv,12162,50
LSP12022-D5_LSP12022-D5-cellRingMask.csv,2534,50
LSP12022-D6_LSP12022-D6-cellRingMask.csv,2313,50
